Advertiser,Advertiser ID,Advertiser Currency,Insertion Order,Insertion Order ID,Line Item,Line Item ID,Date,Campaign,Campaign ID,Impressions,Billable Impressions,Clicks,Click Rate (CTR),Revenue (Adv Currency),Media Cost (Advertiser Currency),Start Views,1st Quartile Views,Midpoint Views,3rd Quartile Views,Complete Views,Video Completion Rate,Viewable Impressions,Measurable Impressions,Viewability,For Checking (Measurable-Impression),Start Views-Impression
CL00003,784915671,INR,"IO01235|Right Care, Right Time Campaign Aug'25 to Sep'25 IO|LI07289|Mandarin - Virtual Emergency Care - Banner",1022210973,LI07289|Mandarin - Virtual Emergency Care - Banner,22864523945,08/02/2026,CA01196,55961000,2194,2194,12,0.55%,72.276542,66.005974,0,0,0,0,0,0.00%,1711,2129,80.37%,-65,0
CL00003,784915671,INR,"IO01235|Right Care, Right Time Campaign Aug'25 to Sep'25 IO|LI07290|Vietnamese - Virtual Emergency Care - Banner",1022575960,LI07290|Vietnamese - Virtual Emergency Care - Banner,22868376928,08/02/2026,CA01196,55961000,2700,2700,11,0.41%,102.709633,93.798752,0,0,0,0,0,0.00%,2331,2635,88.46%,-65,0
CL00003,784915671,INR,"IO01235|Right Care, Right Time Campaign Aug'25 to Sep'25 IO|LI07291|Cantonese - Virtual Emergency Care - Banner",1022263244,LI07291|Cantonese - Virtual Emergency Care - Banner,22864531337,08/02/2026,CA01196,55961000,2527,2527,13,0.51%,95.356671,87.083718,0,0,0,0,0,0.00%,2050,2448,83.74%,-79,0
CL00003,784915671,INR,"IO01235|Right Care, Right Time Campaign Aug'25 to Sep'25 IO|LI07292|Greek - Virtual Emergency Care - Banner",1022213145,LI07292|Greek - Virtual Emergency Care - Banner,22858704441,08/02/2026,CA01196,55961000,2513,2513,11,0.44%,91.757126,83.796462,0,0,0,0,0,0.00%,1874,2458,76.24%,-55,0
CL00003,784915671,INR,"IO01235|Right Care, Right Time Campaign Aug'25 to Sep'25 IO|LI07293|Arabic - Virtual Emergency Care - Banner",1022263916,LI07293|Arabic - Virtual Emergency Care - Banner,22864534451,08/02/2026,CA01196,55961000,2730,2730,12,0.44%,103.713604,94.71562,0,0,0,0,0,0.00%,2323,2676,86.81%,-54,0
CL00003,784915671,INR,"IO01235|Right Care, Right Time Campaign Aug'25 to Sep'25 IO|LI07294|Italian - Virtual Emergency Care - Banner",1022213889,LI07294|Italian - Virtual Emergency Care - Banner,22864526348,08/02/2026,CA01196,55961000,2750,2750,15,0.55%,122.329112,111.716084,0,0,0,0,0,0.00%,2078,2696,77.08%,-54,0
CL00003,784915671,INR,"IO01235|Right Care, Right Time Campaign Aug'25 to Sep'25 IO|LI07295|Turkish - Virtual Emergency Care - Banner",1022263709,LI07295|Turkish - Virtual Emergency Care - Banner,22864531163,08/02/2026,CA01196,55961000,2735,2735,13,0.48%,104.579394,95.506296,0,0,0,0,0,0.00%,2308,2651,87.06%,-84,0
CL00003,784915671,INR,IO01240|Zee5 - Media Partnerships Campaign Aug'25 to Jun'26 IO|LI07327|Zee5 - Hindi - Video - Burst - 4 NEW,1022773504,LI07327|Zee5 - Hindi - Video - Burst - 4 NEW,22920646018,08/02/2026,CA01201,56001302,1394,1394,7,0.50%,84.490098,77.159907,1299,854,531,369,1150,88.53%,1058,1316,80.40%,-78,-95
CL00003,784915671,INR,IO01240|Zee5 - Media Partnerships Campaign Aug'25 to Jun'26 IO|LI07328|Zee5 - Punjabi - Video - Burst - 4 NEW,1022772823,LI07328|Zee5 - Punjabi - Video - Burst - 4 NEW,22916584055,08/02/2026,CA01201,56001302,1497,1497,7,0.47%,90.430656,82.585074,1404,786,490,382,1150,81.91%,1115,1435,77.70%,-62,-93
CL00003,784915671,INR,IO01241|Media Partnerships Campaign Aug'25 to Jun'26 IO|LI07337|Arabic - Video - Burst - 4,1022383992,LI07337|Arabic - Video - Burst - 4,22909607885,08/02/2026,CA01202,56003266,2672,2672,10,0.37%,115.473326,105.455092,2616,2428,2281,2177,2075,79.32%,2294,2605,88.06%,-67,-56
CL00003,784915671,INR,IO01241|Media Partnerships Campaign Aug'25 to Jun'26 IO|LI07338|Greek - Video - Burst - 4,1022744092,LI07338|Greek - Video - Burst - 4,22903885179,08/02/2026,CA01202,56003266,2670,2670,14,0.52%,110.720565,101.114671,2592,2170,1925,1711,2198,84.80%,2222,2590,85.79%,-80,-78
CL00003,784915671,INR,IO01241|Media Partnerships Campaign Aug'25 to Jun'26 IO|LI07339|Italian - Video - Burst - 4,1022412605,LI07339|Italian - Video - Burst - 4,22913779405,08/02/2026,CA01202,56003266,2404,2404,11,0.46%,105.448373,96.299884,2343,1609,1352,1159,1806,77.08%,1880,2342,80.27%,-62,-61
CL00003,784915671,INR,IO01241|Media Partnerships Campaign Aug'25 to Jun'26 IO|LI07340|Punjabi - Video - Burst - 4,1022384022,LI07340|Punjabi - Video - Burst - 4,22903893345,08/02/2026,CA01202,56003266,2778,778,11,0.40%,85.144312,77.757363,2700,2360,1870,1772,2286,84.67%,2271,2683,84.64%,-95,-78
CL00003,784915671,INR,IO01241|Media Partnerships Campaign Aug'25 to Jun'26 IO|LI07341|Hindi - Video - Burst - 4,1022727250,LI07341|Hindi - Video - Burst - 4,22913781328,08/02/2026,CA01202,56003266,2319,2319,12,0.52%,101.009715,92.246315,2246,1341,982,821,1900,84.59%,1857,2262,82.10%,-57,-73
CL00003,784915671,INR,IO01241|Media Partnerships Campaign Aug'25 to Jun'26 IO|LI07342|Mandarin - Video - Burst - 4,1022382987,LI07342|Mandarin - Video - Burst - 4,22909621355,08/02/2026,CA01202,56003266,2801,2801,11,0.39%,128.333077,117.199157,2730,2469,2327,2187,2079,76.15%,2179,2726,79.93%,-75,-71
CL00003,784915671,INR,IO01241|Media Partnerships Campaign Aug'25 to Jun'26 IO|LI07343|Cantonese - Video - Burst - 4,1022384259,LI07343|Cantonese - Video - Burst - 4,22913780767,08/02/2026,CA01202,56003266,2268,2268,9,0.40%,106.638881,97.387106,2196,2004,1851,1726,1649,75.09%,1688,2207,76.48%,-61,-72
CL00003,784915671,INR,IO01241|Media Partnerships Campaign Aug'25 to Jun'26 IO|LI07344|Vietnamese - Video - Burst - 4,1022383224,LI07344|Vietnamese - Video - Burst - 4,22903893528,08/02/2026,CA01202,56003266,2794,2794,15,0.54%,126.678088,115.687752,2726,2544,2379,2245,2110,77.40%,2209,2708,81.57%,-86,-68
CL00003,784915671,INR,IO01241|Media Partnerships Campaign Aug'25 to Jun'26 IO|LI07345|Turkish - Video - Burst - 4,1022384025,LI07345|Turkish - Video - Burst - 4,22903894743,08/02/2026,CA01202,56003266,2794,2794,12,0.43%,125.620912,114.722294,2696,2366,2036,1858,2161,80.16%,2417,2720,88.86%,-74,-98
CL00003,784915671,INR,IO01247|VCE Reforms Campaign Aug’25 to Oct’25 IO|LI07403|Vietnamese - Banner,1022472252,LI07403|Vietnamese - Banner,22927678517,08/02/2026,CA01208,56017580,1065,1065,5,0.47%,40.405282,36.899801,0,0,0,0,0,0.00%,830,1003,82.75%,-62,0
