Advertiser,Advertiser ID,Advertiser Currency,Insertion Order,Insertion Order ID,Line Item,Line Item ID,Date,Campaign,Campaign ID,Impressions,Billable Impressions,Clicks,Click Rate (CTR),Revenue (Adv Currency),Media Cost (Advertiser Currency),Start Views,1st Quartile Views,Midpoint Views,3rd Quartile Views,Complete Views,Video Completion Rate,Viewable Impressions,Measurable Impressions,Viewability,For Checking (Measurable-Impression),Start Views-Impression
CL00003,784915671,INR,"IO01235|Right Care, Right Time Campaign Aug'25 to Sep'25 IO|LI07289|Mandarin - Virtual Emergency Care - Banner",1022210973,LI07289|Mandarin - Virtual Emergency Care - Banner,22864523945,08/02/2026,CA01196,55961000,2194,2194,12,0.55%,72.276542,66.005974,0,0,0,0,0,0.00%,1711,2111,81.05%,-83,0
CL00003,784915671,INR,"IO01235|Right Care, Right Time Campaign Aug'25 to Sep'25 IO|LI07290|Vietnamese - Virtual Emergency Care - Banner",1022575960,LI07290|Vietnamese - Virtual Emergency Care - Banner,22868376928,08/02/2026,CA01196,55961000,2700,2700,11,0.41%,102.709633,93.798752,0,0,0,0,0,0.00%,2331,2643,88.20%,-57,0
CL00003,784915671,INR,"IO01235|Right Care, Right Time Campaign Aug'25 to Sep'25 IO|LI07291|Cantonese - Virtual Emergency Care - Banner",1022263244,LI07291|Cantonese - Virtual Emergency Care - Banner,22864531337,08/02/2026,CA01196,55961000,2527,2527,12,0.47%,95.356671,87.083718,0,0,0,0,0,0.00%,2050,2477,82.76%,-50,0
CL00003,784915671,INR,"IO01235|Right Care, Right Time Campaign Aug'25 to Sep'25 IO|LI07292|Greek - Virtual Emergency Care - Banner",1022213145,LI07292|Greek - Virtual Emergency Care - Banner,22858704441,08/02/2026,CA01196,55961000,2513,2513,11,0.44%,91.757126,83.796462,0,0,0,0,0,0.00%,1874,2448,76.55%,-65,0
CL00003,784915671,INR,"IO01235|Right Care, Right Time Campaign Aug'25 to Sep'25 IO|LI07293|Arabic - Virtual Emergency Care - Banner",1022263916,LI07293|Arabic - Virtual Emergency Care - Banner,22864534451,08/02/2026,CA01196,55961000,2730,2730,13,0.48%,103.713604,94.71562,0,0,0,0,0,0.00%,2323,2656,87.46%,-74,0
CL00003,784915671,INR,"IO01235|Right Care, Right Time Campaign Aug'25 to Sep'25 IO|LI07294|Italian - Virtual Emergency Care - Banner",1022213889,LI07294|Italian - Virtual Emergency Care - Banner,22864526348,08/02/2026,CA01196,55961000,2750,2750,13,0.47%,122.329112,111.716084,0,0,0,0,0,0.00%,2285,2699,84.66%,-51,0
CL00003,784915671,INR,"IO01235|Right Care, Right Time Campaign Aug'25 to Sep'25 IO|LI07295|Turkish - Virtual Emergency Care - Banner",1022263709,LI07295|Turkish - Virtual Emergency Care - Banner,22864531163,08/02/2026,CA01196,55961000,2735,2735,12,0.44%,104.579394,95.506296,0,0,0,0,0,0.00%,2308,2670,86.44%,-65,0
CL00003,784915671,INR,IO01240|Zee5 - Media Partnerships Campaign Aug'25 to Jun'26 IO|LI07327|Zee5 - Hindi - Video - Burst - 4 NEW,1022773504,LI07327|Zee5 - Hindi - Video - Burst - 4 NEW,22920646018,08/02/2026,CA01201,56001302,1394,1394,7,0.50%,84.490098,77.159907,1298,854,531,369,1067,82.20%,1023,1309,78.15%,-85,-96
CL00003,784915671,INR,IO01240|Zee5 - Media Partnerships Campaign Aug'25 to Jun'26 IO|LI07328|Zee5 - Punjabi - Video - Burst - 4 NEW,1022772823,LI07328|Zee5 - Punjabi - Video - Burst - 4 NEW,22916584055,08/02/2026,CA01201,56001302,1497,1497,7,0.47%,90.430656,82.585074,1422,786,490,382,1172,82.42%,1122,1415,79.29%,-82,-75
CL00003,784915671,INR,IO01241|Media Partnerships Campaign Aug'25 to Jun'26 IO|LI07337|Arabic - Video - Burst - 4,1022383992,LI07337|Arabic - Video - Burst - 4,22909607885,08/02/2026,CA01202,56003266,2672,2672,12,0.45%,115.473326,105.455092,2590,2428,2281,2177,2075,80.12%,2294,2582,88.85%,-90,-82
CL00003,784915671,INR,IO01241|Media Partnerships Campaign Aug'25 to Jun'26 IO|LI07338|Greek - Video - Burst - 4,1022744092,LI07338|Greek - Video - Burst - 4,22903885179,08/02/2026,CA01202,56003266,2670,2670,12,0.45%,110.720565,101.114671,2589,2170,1925,1711,2143,82.77%,2222,2620,84.81%,-50,-81
CL00003,784915671,INR,IO01241|Media Partnerships Campaign Aug'25 to Jun'26 IO|LI07339|Italian - Video - Burst - 4,1022412605,LI07339|Italian - Video - Burst - 4,22913779405,08/02/2026,CA01202,56003266,2404,2404,11,0.46%,105.448373,96.299884,2335,1609,1352,1159,1852,79.31%,1880,2326,80.83%,-78,-69
CL00003,784915671,INR,IO01241|Media Partnerships Campaign Aug'25 to Jun'26 IO|LI07340|Punjabi - Video - Burst - 4,1022384022,LI07340|Punjabi - Video - Burst - 4,22903893345,08/02/2026,CA01202,56003266,2778,2778,13,0.47%,85.144312,77.757363,2709,2360,1870,1772,2285,84.35%,2186,2719,80.40%,-59,-69
CL00003,784915671,INR,IO01241|Media Partnerships Campaign Aug'25 to Jun'26 IO|LI07341|Hindi - Video - Burst - 4,1022727250,LI07341|Hindi - Video - Burst - 4,22913781328,08/02/2026,CA01202,56003266,2319,2319,10,0.43%,101.009715,92.246315,2233,1341,982,821,1867,83.61%,1710,2240,76.34%,-79,-86
CL00003,784915671,INR,IO01241|Media Partnerships Campaign Aug'25 to Jun'26 IO|LI07342|Mandarin - Video - Burst - 4,1022382987,LI07342|Mandarin - Video - Burst - 4,22909621355,08/02/2026,CA01202,56003266,2801,2801,14,0.50%,128.333077,117.199157,2709,2469,2327,2187,2079,76.74%,2103,2747,76.56%,-54,-92
